ID,Data,Produto,Categoria,Quantidade,Preço,Valor
1,2023-11-24,Teclado Mecânico,Periféricos,1.0,333.93,333.93
2,2023-02-22,Cabo HDMI,Acessórios,5.0,16.11,80.55
3,2023-02-17,Smartphone Samsung Galaxy,Celulares,1.0,2210.24,2210.24
4,2023-11-29,Caixa de Som JBL,Áudio,2.0,553.56,1107.12
5,2023-01-04,Webcam Full HD,Periféricos,2.0,235.06,470.12
6,2023-03-21,Smartphone Samsung Galaxy,Celulares,1.0,1366.94,1366.94
7,2023-02-19,Tablet iPad,Tablets,2.0,3614.26,7228.52
8,2023-08-24,HD Externo 1TB,Armazenamento,5.0,548.82,2744.1000000000004
9,2023-11-13,Pen Drive 64GB,Armazenamento,1.0,63.75,63.75
10,2023-01-24,Cabo HDMI,Acessórios,1.0,44.94,44.94
11,2023-02-21,Fones Bluetooth,Áudio,2.0,165.06,330.12
12,2023-07-01,Smartphone Samsung Galaxy,Celulares,3.0,2366.46,7099.38
13,2023-11-08,Cabo HDMI,Acessórios,1.0,20.72,20.72
14,2023-07-14,Smartphone Samsung Galaxy,Celulares,4.0,2432.31,9729.24
15,2023-01-29,Smartphone Samsung Galaxy,Celulares,2.0,1922.1,3844.2
16,2023-02-03,Smartphone Samsung Galaxy,Celulares,5.0,1582.73,7913.65
17,2023-09-13,Fones Bluetooth,Áudio,5.0,155.85,779.25
18,2023-10-15,HD Externo 1TB,Armazenamento,2.0,569.35,1138.7
19,2023-07-24,Tablet iPad,Tablets,5.0,2181.82,10909.1
20,2023-01-25,Pen Drive 64GB,Armazenamento,1.0,68.56,68.56
21,2023-08-05,Cabo HDMI,Acessórios,3.0,49.86,149.57999999999998
22,2023-09-28,Smartphone Samsung Galaxy,Celulares,1.0,2424.51,2424.51
23,2023-02-28,Cabo HDMI,Acessórios,2.0,41.9,83.8
24,2023-06-24,Teclado Mecânico,Periféricos,2.0,201.95,403.9
25,2023-05-15,Mousepad Gamer,Periféricos,3.0,119.83,359.49
26,2023-11-17,iPhone 14,Celulares,3.0,4397.82,13193.46
27,2023-07-11,Webcam Full HD,Periféricos,3.0,379.62,1138.8600000000001
28,2023-11-03,iPhone 14,Celulares,2.0,5757.44,11514.88
29,2023-06-07,Smartphone Samsung Galaxy,Celulares,3.0,2904.51,8713.53
30,2023-02-13,Caixa de Som JBL,Áudio,10.0,659.5,6595.0
